0:0:0:0:0:0:0:1 - - [19/Sep/2022:11:04:50 +0700] "GET /Java5/ptb2.jsp HTTP/1.1" 500 2912
0:0:0:0:0:0:0:1 - - [19/Sep/2022:11:05:22 +0700] "GET /Java5/ptb2.jsp HTTP/1.1" 200 505
0:0:0:0:0:0:0:1 - - [19/Sep/2022:11:05:37 +0700] "GET /Java5/ptb2.jsp?a=5&b=6&c=1&calculate=ptb2 HTTP/1.1" 200 482
0:0:0:0:0:0:0:1 - - [19/Sep/2022:11:10:24 +0700] "GET /Java5/ptb2.jsp HTTP/1.1" 200 505
0:0:0:0:0:0:0:1 - - [19/Sep/2022:11:10:31 +0700] "GET /Java5/ptb2.jsp?a=0&b=4&c=6&calculate=ptb2 HTTP/1.1" 200 482
0:0:0:0:0:0:0:1 - - [19/Sep/2022:11:11:37 +0700] "GET /Java5/ptb2.jsp HTTP/1.1" 200 505
0:0:0:0:0:0:0:1 - - [19/Sep/2022:11:11:38 +0700] "GET /Java5/ptb2.jsp?a=0&b=0&c=0&calculate=ptb2 HTTP/1.1" 200 482
0:0:0:0:0:0:0:1 - - [19/Sep/2022:11:11:39 +0700] "GET /Java5/ptb2.jsp?a=0&b=0&c=0&calculate=ptb2 HTTP/1.1" 200 482
0:0:0:0:0:0:0:1 - - [19/Sep/2022:11:11:42 +0700] "GET /Java5/ptb2.jsp?a=0&b=0&c=0&calculate=ptb2 HTTP/1.1" 200 482
0:0:0:0:0:0:0:1 - - [19/Sep/2022:11:12:00 +0700] "GET /Java5/ptb2.jsp?a=0&b=0&c=0&calculate=ptb2 HTTP/1.1" 200 482
0:0:0:0:0:0:0:1 - - [19/Sep/2022:11:12:00 +0700] "GET /Java5/ptb2.jsp?a=0&b=0&c=0&calculate=ptb2 HTTP/1.1" 200 482
0:0:0:0:0:0:0:1 - - [19/Sep/2022:11:12:00 +0700] "GET /Java5/ptb2.jsp?a=0&b=0&c=0&calculate=ptb2 HTTP/1.1" 200 482
0:0:0:0:0:0:0:1 - - [19/Sep/2022:11:13:24 +0700] "GET /Java5/ptb2.jsp?a=0&b=0&c=0&calculate=ptb2 HTTP/1.1" 200 482
0:0:0:0:0:0:0:1 - - [19/Sep/2022:11:13:25 +0700] "GET /Java5/ptb2.jsp?a=0&b=0&c=0&calculate=ptb2 HTTP/1.1" 200 482
0:0:0:0:0:0:0:1 - - [19/Sep/2022:11:13:25 +0700] "GET /Java5/ptb2.jsp?a=0&b=0&c=0&calculate=ptb2 HTTP/1.1" 200 482
0:0:0:0:0:0:0:1 - - [19/Sep/2022:11:13:25 +0700] "GET /Java5/ptb2.jsp?a=0&b=0&c=0&calculate=ptb2 HTTP/1.1" 200 482
0:0:0:0:0:0:0:1 - - [19/Sep/2022:11:13:26 +0700] "GET /Java5/ptb2.jsp?a=0&b=0&c=0&calculate=ptb2 HTTP/1.1" 200 482
0:0:0:0:0:0:0:1 - - [19/Sep/2022:11:13:27 +0700] "GET /Java5/ptb2.jsp?a=0&b=0&c=0&calculate=ptb2 HTTP/1.1" 200 482
0:0:0:0:0:0:0:1 - - [19/Sep/2022:11:13:27 +0700] "GET /Java5/ptb2.jsp?a=0&b=0&c=0&calculate=ptb2 HTTP/1.1" 200 482
0:0:0:0:0:0:0:1 - - [19/Sep/2022:11:13:32 +0700] "GET /Java5/ptb2.jsp HTTP/1.1" 200 505
0:0:0:0:0:0:0:1 - - [19/Sep/2022:11:13:54 +0700] "GET /Java5/ptb2.jsp?a=2&b=2&c=2&calculate=ptb2 HTTP/1.1" 200 482
0:0:0:0:0:0:0:1 - - [19/Sep/2022:11:13:57 +0700] "GET /Java5/ptb2.jsp?a=0&b=2&c=2&calculate=ptb2 HTTP/1.1" 200 482
0:0:0:0:0:0:0:1 - - [19/Sep/2022:11:13:58 +0700] "GET /Java5/ptb2.jsp?a=0&b=2&c=2&calculate=ptb2 HTTP/1.1" 200 482
0:0:0:0:0:0:0:1 - - [19/Sep/2022:11:14:32 +0700] "GET /Java5/ptb2.jsp?a=0&b=2&c=2&calculate=ptb2 HTTP/1.1" 200 520
0:0:0:0:0:0:0:1 - - [19/Sep/2022:11:14:37 +0700] "POST /Java5/ptb2.jsp HTTP/1.1" 200 520
0:0:0:0:0:0:0:1 - - [19/Sep/2022:11:14:42 +0700] "POST /Java5/ptb2.jsp HTTP/1.1" 200 509
0:0:0:0:0:0:0:1 - - [19/Sep/2022:11:14:47 +0700] "POST /Java5/ptb2.jsp HTTP/1.1" 200 498
0:0:0:0:0:0:0:1 - - [19/Sep/2022:11:16:18 +0700] "POST /Java5/ptb2.jsp HTTP/1.1" 200 498
0:0:0:0:0:0:0:1 - - [19/Sep/2022:11:16:27 +0700] "POST /Java5/ptb2.jsp HTTP/1.1" 200 483
0:0:0:0:0:0:0:1 - - [19/Sep/2022:11:16:28 +0700] "POST /Java5/ptb2.jsp HTTP/1.1" 200 483
0:0:0:0:0:0:0:1 - - [19/Sep/2022:11:16:28 +0700] "POST /Java5/ptb2.jsp HTTP/1.1" 200 483
0:0:0:0:0:0:0:1 - - [19/Sep/2022:11:16:52 +0700] "POST /Java5/ptb2.jsp HTTP/1.1" 200 551
0:0:0:0:0:0:0:1 - - [19/Sep/2022:11:16:59 +0700] "POST /Java5/ptb2.jsp HTTP/1.1" 200 516
0:0:0:0:0:0:0:1 - - [19/Sep/2022:11:17:15 +0700] "POST /Java5/ptb2.jsp HTTP/1.1" 200 563
0:0:0:0:0:0:0:1 - - [19/Sep/2022:11:17:38 +0700] "GET /Java5/BtMayTinh_.jsp HTTP/1.1" 200 721
0:0:0:0:0:0:0:1 - - [19/Sep/2022:11:17:43 +0700] "GET /Java5/BtMayTinh_.jsp?a=2&b=0&calculate=ptb2 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [19/Sep/2022:11:17:43 +0700] "GET /Java5/ptb2.jsp HTTP/1.1" 200 506
